year,wheel,motor_volume,price,running_miles,model_enc,motor_type_enc,wheel_enc,color_enc,type_enc,status_enc
2022,left,2.0,24500,1864.113,4,3,0,15,5,1
2014,left,2.0,25500,82020.972,2,3,0,1,5,1
2018,left,2.0,11700,95000.0,1,3,0,10,5,1
2017,left,2.0,26000,80778.23,2,3,0,1,5,2
2019,left,2.0,23200,49000.0,3,3,0,7,6,1
2019,left,2.0,7000,52816.535,2,3,0,1,5,1
2021,left,2.0,13900,58000.0,0,3,0,14,5,0
2016,left,2.0,16800,84382.1818,3,3,0,14,6,1
2018,left,2.0,14300,136701.62,4,3,0,14,5,1
2019,left,2.0,15300,38100.0,0,3,0,1,5,1
2018,left,2.0,16900,102000.0,3,3,0,16,1,2
2017,left,2.0,17500,60894.358,4,1,0,16,5,1
2017,left,2.0,15500,60000.0,4,3,0,16,5,1
2011,left,2.0,12700,142915.33,2,3,0,7,5,1
2019,left,2.0,14800,33000.0,0,3,0,1,5,1
2022,left,2.0,23800,7000.0,0,3,0,1,5,1
2018,left,2.0,19000,50000.0,3,3,0,16,6,2
2019,left,2.0,17000,64000.0,1,3,0,1,5,1
2017,left,2.0,15000,80000.0,4,1,0,1,5,1
2018,left,2.0,16200,44000.0,0,3,0,16,5,1
2019,left,2.0,11000,78900.0,1,3,0,13,5,0
2002,left,2.0,6800,114953.635,2,3,0,10,5,4
2015,left,2.0,15500,11184.678,0,3,0,1,5,1
2010,left,2.0,10900,130487.91,2,3,0,1,5,1
1997,left,2.0,8200,89477.424,2,1,0,16,5,1
2017,left,2.0,19700,65243.955,4,1,0,16,5,1
2019,left,2.0,16500,45981.454,1,3,0,7,5,1
2018,left,2.0,16500,68000.0,0,3,0,1,5,2
2019,left,2.0,12500,66486.697,1,3,0,16,5,0
2019,left,2.0,15000,30000.0,1,3,0,13,5,1
2019,left,2.0,16500,57000.0,1,3,0,16,5,1
2018,left,2.0,15750,20000.0,0,3,0,2,5,1
2001,left,2.0,6000,161556.46,2,1,0,16,5,2
2021,left,2.0,25500,18951.8155,0,3,0,7,5,1
2019,left,2.0,17700,49709.68,4,3,0,16,5,2
2021,left,2.0,21500,13000.0,1,3,0,1,5,1
2009,left,2.0,9300,143000.0,3,3,0,10,6,2
2018,left,2.0,18700,34000.0,3,3,0,9,6,1
2023,left,2.0,24000,700.0,0,3,0,1,5,0
2020,left,2.0,17200,15000.0,0,3,0,1,5,2
2017,left,2.0,12600,85000.0,1,3,0,16,5,1
2017,left,2.0,13200,82000.0,1,3,0,14,5,1
2014,left,2.0,13900,57299.726765,4,3,0,16,5,1
2020,left,2.0,18700,24000.0,3,3,0,1,6,1
2020,left,2.0,16200,39000.0,1,3,0,7,5,1
2008,left,2.0,11200,142915.33,2,3,0,16,5,1
2020,left,2.0,13500,11000.0,0,3,0,1,5,1
2017,left,2.0,17500,95000.0,3,3,0,9,6,1
2020,left,2.0,18600,20999.0,1,3,0,7,5,1
2017,left,2.0,15300,108000.0,3,3,0,16,6,1
2018,left,2.0,18000,78000.0,3,3,0,7,6,2
2016,left,2.0,15000,100000.0,3,3,0,1,5,1
2019,left,2.0,14000,40000.0,1,3,0,7,5,1
2022,left,2.0,27900,4700.0,1,3,0,16,5,1
2015,left,2.0,12800,96000.0,0,3,0,16,5,1
2019,left,2.0,14300,102000.0,0,3,0,7,5,1
2019,left,2.0,17500,14800.0,1,3,0,1,5,1
2018,left,2.0,16500,9320.565,3,3,0,16,6,1
2017,left,2.0,18400,65000.0,3,3,0,1,6,2
2017,left,2.0,19500,61250.0,3,3,0,16,6,1
1999,left,2.0,8500,160000.0,2,4,0,16,5,1
2019,left,2.0,14700,70000.0,1,3,0,14,5,1
2018,left,2.0,15500,103000.0,3,3,0,1,6,2
2021,left,2.0,19700,53000.0,0,3,0,7,5,1
2019,left,2.0,14200,18889.6784,1,3,0,1,5,1
2017,left,2.0,17000,100000.0,3,3,0,1,6,1
2018,left,2.0,18000,35418.147,3,3,0,13,6,1
2019,left,2.0,14000,33000.0,1,3,0,1,5,1
2017,left,2.0,23500,88000.0,2,3,0,1,5,2
2007,left,2.0,7700,98700.0,0,3,0,14,5,2
2018,left,2.0,22000,62000.0,3,3,0,16,6,1
2002,left,2.0,6625,116444.92540000001,2,4,0,14,5,1
2016,left,2.0,24000,71457.665,2,3,0,1,5,1
2020,left,2.0,15700,14291.533,1,3,0,1,5,0
2019,left,2.0,28000,38000.0,3,3,0,1,6,1
2016,left,2.0,28000,71457.665,2,3,0,16,5,1
2014,left,2.0,12200,119000.0,4,3,0,10,5,2
2020,left,2.0,17000,36000.0,0,3,0,2,5,1
2021,left,2.0,28000,19262.501,0,3,0,14,5,1
1997,left,2.0,8700,100.04073100000001,2,4,0,14,5,2
2016,left,2.0,16900,120000.0,4,3,0,1,5,1
1997,left,2.0,3900,155421.664117,2,3,0,14,5,4
2016,left,2.0,12500,61000.0,0,4,0,2,5,1
2014,left,2.0,10000,65243.955,0,3,0,2,5,1
2022,left,2.0,25500,2400.0,4,3,0,1,5,3
2016,left,2.0,14000,62137.1,4,3,0,16,5,2
2019,left,2.0,15900,43495.97,1,3,0,14,5,1
2019,left,2.0,14500,43495.97,3,3,0,2,6,2
2017,left,2.0,15250,77000.0,3,3,0,16,6,1
2018,left,2.0,12500,55923.39,0,3,0,1,5,1
2019,left,2.0,19800,40000.0,3,3,0,1,6,1
2018,left,2.0,12800,24000.0,1,3,0,4,5,1
2021,left,2.0,19000,12900.0,1,3,0,2,5,1
2016,left,2.0,12300,56000.0,0,3,0,2,5,1
2015,left,2.0,25000,93205.65,2,3,0,1,5,1
2018,left,2.0,22200,69000.0,3,3,0,16,6,3
2018,left,2.0,18000,75000.0,4,3,0,1,5,1
2019,left,2.0,22500,43495.97,3,3,0,1,6,1
2015,left,2.0,15000,76428.633,4,3,0,7,5,2
2021,left,2.0,24800,14291.533,0,3,0,7,5,3
2017,left,2.0,23900,42253.228,3,3,0,1,1,1
2017,left,2.0,11400,82000.0,0,3,0,14,5,2
2018,left,2.0,15550,23.0,0,3,0,1,5,2
2016,left,2.0,12300,68350.81,0,3,0,16,5,1
2011,left,2.0,8000,161028.29465,1,3,0,5,5,2
2019,left,2.0,15600,44000.0,1,3,0,1,5,2
2019,left,2.0,16000,50400.0,0,3,0,14,5,1
2017,left,2.0,17500,60000.0,3,3,0,16,6,1
2021,left,2.0,21500,21747.985,4,3,0,16,5,1
2015,left,2.0,11500,90000.0,1,3,0,1,5,1
2017,left,2.0,18500,50331.051,4,3,0,1,5,1
2020,left,2.0,19500,28000.0,4,3,0,1,5,2
2010,left,2.0,7500,65243.955,0,3,0,7,5,1
2022,left,2.0,26900,745.6452,0,3,0,16,5,3
2020,left,2.0,21500,15500.0,3,3,0,16,6,1
2017,left,2.0,12700,99950.0,0,3,0,4,5,1
2017,left,2.0,14500,69000.0,0,3,0,1,5,1
2019,left,2.0,15800,46000.0,1,3,0,1,5,1
2014,left,2.0,15750,138.0,0,4,0,1,5,2
2012,left,2.0,11300,88856.053,0,3,0,16,5,1
2017,left,2.0,24500,35000.0,2,3,0,1,5,0
2013,left,2.0,7000,110000.0,0,1,0,14,5,1
2019,left,2.0,14500,60500.0,0,3,0,16,5,1
2016,left,2.0,12800,40000.0,1,3,0,14,5,1
2017,left,2.0,14200,52195.164,0,3,0,16,5,2
2006,left,2.0,7300,155342.75,2,3,0,1,5,2
2019,left,2.0,16300,21747.985,0,3,0,7,5,1
2019,left,2.0,16900,65000.0,1,3,0,7,5,1
2021,left,2.0,20500,14726.4927,1,3,0,1,5,1
2015,left,2.0,12000,130.0,0,3,0,1,5,2
2015,left,2.0,24900,77000.0,2,3,0,1,5,2
2016,left,2.0,19200,80778.23,4,3,0,1,5,1
2018,left,2.0,17500,77600.0,3,3,0,7,5,1
2017,left,2.0,11400,97000.0,0,3,0,1,5,1
2017,left,2.0,22500,45360.083,3,3,0,16,6,1
2007,left,2.0,11700,155342.75,2,3,0,14,5,2
2019,left,2.0,17800,29204.437,0,3,0,7,5,1
2019,left,2.0,15300,34175.405,0,3,0,14,5,1
2020,left,2.0,15200,24000.0,1,3,0,1,5,1
2017,left,2.0,21500,55923.39,4,3,0,14,5,1
2017,left,2.0,15300,83000.0,3,3,0,7,6,1
2019,left,2.0,24500,994.1936000000001,4,3,0,7,5,1
2014,left,2.0,13300,140000.0,4,1,0,1,5,1
2008,left,2.0,9500,154100.008,2,1,0,16,5,1
1996,left,2.0,4700,167770.17,2,1,0,1,5,2
2017,left,2.0,13800,52000.0,0,3,0,1,5,1
1997,left,2.0,5200,99419.36,2,3,0,14,5,1
2017,left,2.0,15700,70000.0,3,3,0,1,1,1
2020,left,2.0,20000,13670.162,4,3,0,2,5,1
2018,left,2.0,13400,55000.0,0,3,0,13,5,1
2019,left,2.0,16400,35286.0,1,3,0,14,5,1
1998,left,2.0,5200,167770.17,2,3,0,2,5,4
2017,left,2.0,13500,85000.0,0,1,0,14,5,1
2017,left,2.0,11400,66000.0,1,4,0,2,5,1
2021,left,2.0,25700,14291.533,0,3,0,4,5,1
2017,left,2.0,13300,125000.0,0,3,0,14,5,2
2018,left,2.0,13800,35000.0,0,3,0,3,5,1
2020,left,2.0,15500,39000.0,1,3,0,16,5,1
2023,left,2.0,26000,391.46373,0,3,0,7,5,1
2010,left,2.0,12000,6.21371,2,3,0,1,5,1
2018,left,2.0,16000,42000.0,1,3,0,2,5,1
2020,left,2.0,17500,2423.3469,0,3,0,16,5,1
2017,left,2.0,11500,120000.0,1,4,0,1,5,1
2019,left,2.0,16500,81000.0,1,3,0,14,5,1
2020,left,2.0,13700,53000.0,0,3,0,14,5,2
2018,left,2.0,17700,44117.341,3,3,0,16,1,1
2008,left,2.0,10800,142293.959,2,3,0,1,5,1
2022,left,2.0,26900,5000.0,1,3,0,16,5,2
2012,left,2.0,12000,110000.0,4,1,0,16,5,1
2008,left,2.0,6800,107497.183,4,3,0,14,5,1
2020,left,2.0,19000,62137.1,4,3,0,1,5,2
2018,left,2.0,17000,30000.0,0,3,0,7,5,1
2019,left,2.0,13500,29825.808,1,3,0,9,5,2
2019,left,2.0,17000,56000.0,1,3,0,7,5,1
2020,left,2.0,18400,55923.39,3,3,0,7,6,1
2008,left,2.0,9500,150000.0,2,1,0,16,5,2
2019,left,2.0,22300,41631.857,3,3,0,1,6,2
2019,left,2.0,15900,27000.0,1,3,0,1,5,1
2021,left,2.0,19500,31068.55,0,3,0,1,5,1
2020,left,2.0,21000,8250.0,3,3,0,16,6,1
2018,left,2.0,14000,64000.0,0,3,0,16,5,1
2020,left,2.0,17500,44886.0,1,3,0,16,5,1
2020,left,2.0,18200,33600.0,1,3,0,7,5,1
2019,left,2.0,15800,40000.0,1,3,0,2,5,1
2017,left,2.0,13500,81399.601,0,3,0,1,5,4
2022,left,2.0,19500,6213.71,4,3,0,16,5,1
2018,left,2.0,18500,70000.0,3,3,0,1,6,1
2017,left,2.0,12000,66000.0,1,3,0,14,5,2
2018,left,2.0,17500,60000.0,3,3,0,14,6,1
2006,left,2.0,8000,113710.893,2,3,0,1,5,1
2019,left,2.0,17500,11295.0,0,3,0,1,5,1
2019,left,2.0,15600,47224.196,0,3,0,16,5,1
1998,left,2.0,15750,71457.665,2,1,0,16,5,1
1994,left,2.0,4000,173983.88,2,1,0,1,5,2
2019,left,2.0,22700,42874.599,3,3,0,16,6,1
2019,left,2.0,15500,65000.0,0,3,0,14,5,2
2019,left,2.0,16500,71300.0,0,3,0,1,5,1
2013,left,2.0,10000,102000.0,0,3,0,7,5,2
2016,left,2.0,12700,120.0,3,3,0,2,6,1
2009,left,2.0,10500,124274.2,3,3,0,2,6,1
2020,left,2.0,15500,9320.565,0,3,0,7,5,1
2019,left,2.0,17000,49000.0,1,3,0,14,5,1
2019,left,2.0,22000,22369.356,3,3,0,1,1,2
